"Driver" "Constructor" "Season" "Age" "Engine" "Poles" "Wins" "Podiums" "FastestLaps" "Points" "ConstructorNat" "DriverNat"
"52" "MichaelSchumacher" "Ferrari" "2000" "31" "Ferrari" "9" "9" "12" "2" "108" "Italy" "Germany"
"53" "MichaelSchumacher" "Ferrari" "2001" "32" "Ferrari" "11" "9" "14" "3" "123" "Italy" "Germany"
"54" "MichaelSchumacher" "Ferrari" "2002" "33" "Ferrari" "7" "11" "17" "7" "144" "Italy" "Germany"
"55" "MichaelSchumacher" "Ferrari" "2004" "35" "Ferrari" "8" "13" "15" "10" "148" "Italy" "Germany"
"56" "MikaHäkkinen" "McLaren" "1998" "30" "Mercedes" "9" "8" "11" "6" "100" "UnitedKingdom" "Finland"
"57" "MikaHäkkinen" "McLaren" "1999" "31" "Mercedes" "11" "5" "10" "6" "76" "UnitedKingdom" "Finland"
"58" "MikeHawthorn" "Ferrari" "1958" "29" "Ferrari" "4" "1" "7" "5" "42" "Italy" "United Kingdom"
"59" "NelsonPiquet" "Brabham" "1983" "31" "BMW" "1" "3" "8" "4" "59" "UnitedKingdom" "Brazil"
"60" "NelsonPiquet" "Williams" "1987" "35" "Honda" "4" "3" "11" "4" "73" "UnitedKingdom" "Brazil"
"61" "NelsonPiquet" "Brabham" "1981" "29" "Ford" "4" "3" "7" "1" "50" "UnitedKingdom" "Brazil"
"62" "NicoRosberg" "Mercedes" "2016" "31" "Mercedes" "8" "9" "16" "6" "385" "Germany" "Germany"
"63" "NigelMansell" "Williams" "1992" "39" "Renault" "14" "9" "12" "8" "108" "UnitedKingdom" "United Kingdom"
"64" "NikiLauda" "Ferrari" "1975" "26" "Ferrari" "9" "5" "8" "2" "64.5" "Italy" "Austria"
"65" "NikiLauda" "Ferrari" "1977" "28" "Ferrari" "2" "3" "10" "3" "72" "Italy" "Austria"
"66" "NikiLauda" "McLaren" "1984" "35" "TAG" "0" "5" "9" "5" "72" "UnitedKingdom" "Austria"
"67" "PhilHill" "Ferrari" "1961" "34" "Ferrari" "5" "2" "6" "2" "34" "Italy" "United States"
"68" "SebastianVettel" "Red Bull" "2012" "25" "Renault" "6" "5" "10" "6" "281" "Austria" "Germany"
"69" "SebastianVettel" "Red Bull" "2010" "23" "Renault" "10" "5" "10" "3" "256" "Austria" "Germany"
"70" "SebastianVettel" "Red Bull" "2011" "24" "Renault" "15" "11" "17" "3" "392" "Austria" "Germany"
"71" "SebastianVettel" "Red Bull" "2013" "26" "Renault" "9" "13" "16" "7" "397" "Austria" "Germany"
